SKU,Name,Parent Product SKU,Price,Sale Price,Currency,Description,Track Inventory,QTY,Backorder,Hidden
CST-MNG-TT-BAG,Customizable Monogram Tote Bag,,$12.00,,USD,"Customizable Monogram Tote Bag. You choose the initials, Font Style & Color of Monogram",TRUE,22,FALSE,FALSE
CST-MNG-TT-BAG111,Design & Customize Canvas Tote Bag,,$13.00,,USD,"Design & Customize a Canvas Tote Bag. You choose the Text, Font & Color.",TRUE,33,FALSE,FALSE
DSG-CST-CNV-TT,Design & Customize T-Shirt,,$15.00,,USD,"Design & Customize a white T-shirt. You choose the Text, Font, Color & Size.",TRUE,22,FALSE,FALSE
PRS-PST-SKN-TMB,Personalized Pastel Skinny Tumblers,,$14.50,,USD,Personalized Skinny Tumblers with cute heart pattern. Price is per tumbler. You add a name & choose from one of our pastel colors.,TRUE,22,FALSE,FALSE
DSG-CST-WD-SGN,Design & Customize Wood Sign,,$30.00,,USD,"Custom Design a 18”x6” wooden sign. You pick the wood finish, text, font style & color of text.",TRUE,22,FALSE,FALSE
MML-KDL-T-SHR,Mommy & Me T-Shirts,,$15.00,,USD,"Mommy & Me T-Shirts: ""Classy with a side of..."" ""Sassy""",TRUE,23,FALSE,FALSE
MOMNME-SNAK-SHIRTS,Mommy & Me T-Shirts,,$15.00,,USD,"Mommy & Me Black T-Shirts: ""Snack Dealer"" & ""Snack Stealer""",TRUE,22,FALSE,FALSE
MMM-ME-T-SHR1,Mommy (T-Shirt) & Me (Onesie),,$15.00,,USD,"Mommy & Me T-shirt & Onesie: ""It's the little things"" & ""little things""",TRUE,22,FALSE,FALSE
MOMNME-HIP-SHIRTS,Mommy (T-Shirt) & Me (Onesie),,$15.00,,USD,"Mommy & Me T-shirt & Onesie: ""HIP mama"" & ""HIP hugger""",TRUE,22,FALSE,FALSE
MMM-ME-T-SHR2,Sorry I'm Late Mommy & Me T-Shirts,,$15.00,,USD,"Mommy & Me Black T-Shirts: ""Sorry I'm Late"" & ""I'm the reason we're late""",TRUE,33,FALSE,FALSE
MMM-T-SHR-ME1,Mommy (T-Shirt) & Me (Onesie),,$15.00,,USD,"Mommy & Me T-shirt & Onesie: ""I Put my Baby on my Hip"" & ""When I Dip She Dips We Dip""",TRUE,22,FALSE,FALSE
PROPOSAL-HEART-CUFF,Personalized Bridesmaid Proposal Card + Cuff Bangle,,$8.00,,USD,"These adorable Personalized Heart Cards and Cuff Bangles make great affordable bridesmaid proposal gifts. The cuff bracelets are adjustable, NICKEL FREE and come in 3 different finishes for you to choose from: Silver, Gold or Rose Gold. You can also choose the color of the heart gift card and personalize them with the name of the person you are gifting them to and sign with your own name. You may choose to stick with one of the pre written messages we have to pick from or you can use the text box below to type out your own SHORT sweet note! I cant wait to personalize these cute little gits for you! :)",TRUE,17,FALSE,FALSE
BHN-VRY-BAD-T,Behind Every Bad ***** T-Shirt,,$15.00,,USD,Behind every bad bitch is a car seat T-shirt,TRUE,33,FALSE,FALSE
CHR-MOM-SH-T,Cheer Mom SH*T,,$15.00,,USD,“I can’t talk right now I’m doing cheer mom shit” T-shirt you pick the team colors,TRUE,22,FALSE,FALSE
